,School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,Urban-centric Locale [Public School] 2016-17,Urban-centric Locale [Public School] 2015-16,Urban-centric Locale [Public School] 2014-15,"Total Students, All Grades (Excludes AE) [Public School] 2018-19","Total Students, All Grades (Excludes AE) [Public School] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2016-17","Total Students, All Grades (Excludes AE) [Public School] 2015-16","Total Students, All Grades (Excludes AE) [Public School] 2014-15",Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Direct Certification [Public School] 2018-19,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2016-17,Grades 1-8 Students [Public School] 2015-16,Grades 1-8 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2016-17,Grades 9-12 Students [Public School] 2015-16,Grades 9-12 Students [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,National School Lunch Program [Public School] 2016-17,National School Lunch Program [Public School] 2015-16,National School Lunch Program [Public School] 2014-15,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2014-15,LEAID
32,ALPHARETTA ELEMENTARY SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,567,550.0,559.0,572.0,575,67,81,79,93,107,30,37.0,41,10,15,15,12,19,77,96.0,94,105,126,425,428.0,440.0,467.0,464,,,,,,130228000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Alpharetta Elementary School,Fulton County,13121.0,30009.0,Alpharetta,21,17,567,575.0,1,0,344,355,61,95,60,61,80,47,0,0,1302280.0
33,ALPHARETTA HIGH SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,2268,2233.0,2152.0,2033.0,2061,202,226,206,188,187,73,88.0,94,57,58,45,41,47,259,284.0,251,229,234,,,,,,2268,2233.0,2152.0,2033.0,2061,130228000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Alpharetta High School,Fulton County,13121.0,30005.0,Alpharetta,80,71,2268,2061.0,2,1,965,1031,428,401,279,183,509,370,5,4,1302280.0
34,ALPINE GNETS PROGRAM,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130001000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300008.0
35,ALPS ROAD ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,398,425.0,417.0,366.0,339,366,391,384,337,323,256,260.0,400,0,0,0,0,13,366,391.0,384,337,336,273,302.0,292.0,254.0,214,,,,,,130117000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Alps Road Elementary School,Clarke County,13059.0,30606.0,Athens,21,8,398,339.0,0,0,31,19,308,257,35,54,2,1,1,0,1301170.0
36,ALTAMA ELEMENTARY SCHOOL,Georgia,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,489,536.0,582.0,605.0,580,421,470,517,526,482,259,293.0,331,39,35,29,39,47,460,505.0,546,565,529,384,434.0,446.0,465.0,441,,,,,,130240000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Altama Elementary School,Glynn County,13127.0,31525.0,Brunswick,27,30,489,580.0,6,8,68,61,288,378,93,94,5,7,2,2,1302400.0
37,ALTAMAHA ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,428,423.0,410.0,409.0,390,387,382,244,226,200,154,171.0,192,0,0,37,51,34,387,382.0,281,277,234,310,311.0,291.0,296.0,276,,,,,,130006000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Altamaha Elementary School,Appling County,13001.0,31513.0,Baxley,11,10,428,390.0,1,0,348,329,39,23,28,28,1,0,0,0,1300060.0
38,ALTERNATIVE EDUCATION,Georgia,,,,,12-City: Mid-size,,,,,.,,,,,.,,,,,,,,.,,,,,.,,,,,.,,,,,.,130438000000.0,,,,,6-Not a Title I school,,,,,Yes under Community Eligibility Option (CEO),,,,,,,,,.,,0.0,,.,,.,,.,,.,,.,,.,1304380.0
39,ALTERNATIVE EDUCATION CENTER AT LAMAR,GEORGIA,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,,147,144.0,150.0,160.0,,142,139,145,155,,144,141.0,118,0,0,0,0,,142,139.0,145,155,,33,53.0,61.0,64.0,,104,91.0,89.0,96.0,,130438000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,,12th Grade,6th Grade,Alternative Education Center at Lamar,Richmond County,13245.0,30904.0,Augusta,1,,147,,1,,6,,136,,3,,0,,0,,1304380.0
40,ALTERNATIVE LEARNING CENTER,GEORGIA,13-City: Small,,,,,51,,,,,36,,,,,26,,,6,,,,,42,,,,,3,,,,,36,,,,,130261000000.0,6-Not a Title I school,,,,,Yes participating without using any Provision or the CEO,,,,,12th Grade,7th Grade,Alternative Learning Center,Hall County,13139.0,30504.0,Gainesville,2,,51,,0,,16,,4,,29,,0,,0,,1302610.0
41,ALTERNATIVE LEARNING CENTER,Georgia,,,32-Town: Distant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130422000000.0,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,1304220.0
42,ALTERNATIVE SCHOOL,Georgia,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,,,,,.,,,,,.,,,,,,,,.,,,,,.,,,,,.,,,,,.,130029000000.0,6-Not a Title I school,,,6-Not a Title I school,6-Not a Title I school,No,No,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,,,Alternative School,Barrow County,13013.0,30620.0,Bethlehem,,.,,0.0,,.,,.,,.,,.,,.,,.,1300290.0
43,ALTO PARK ELEMENTARY SCHOOL,Georgia,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,447,485.0,502.0,476.0,473,304,331,302,351,322,177,215.0,302,0,0,0,26,8,304,331.0,302,377,330,331,365.0,364.0,359.0,353,,,,,,130219000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Alto Park Elementary School,Floyd County,13115.0,30165.0,Rome,30,17,447,473.0,0,0,221,261,32,39,157,150,7,4,0,2,1302190.0
44,AMANA ACADEMY SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,694,699.0,726.0,741.0,695,241,307,332,299,232,94,132.0,28,73,67,63,88,46,314,374.0,395,387,278,617,625.0,672.0,665.0,625,,,,,,130228000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,Kindergarten,Amana Academy School,Fulton County,13121.0,30009.0,Alpharetta,37,39,694,695.0,2,1,150,222,289,261,95,58,120,113,1,1,1302280.0
45,AMBROSE ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,421,413.0,418.0,414.0,391,411,370,374,372,351,157,209.0,176,0,0,0,0,0,411,370.0,374,372,351,311,309.0,307.0,300.0,284,,,,,,130135000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Ambrose Elementary School,Coffee County,13069.0,31512.0,Ambrose,12,12,421,391.0,0,0,211,194,54,44,143,140,0,0,1,1,1301350.0
46,AMERICUS SUMTER 9TH GRADE ACADEMY,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,41-Rural: Fringe,265,275.0,308.0,306.0,351,263,271,308,303,351,133,169.0,216,0,0,0,0,0,263,271.0,308,303,351,,,,,,259,275.0,308.0,306.0,351,130462000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),9th Grade,9th Grade,Americus Sumter 9th Grade Academy,Sumter County,13261.0,31719.0,Americus,8,5,265,351.0,0,0,23,33,201,286,31,25,2,2,0,0,1304620.0
47,AMERICUS SUMTER HIGH SCHOOL (OLD AMERICUS-SUMTER HS S),Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,808,875.0,930.0,1001.0,955,802,860,930,990,940,430,422.0,549,0,0,0,0,0,802,860.0,930,990,940,,,,,,808,875.0,930.0,1001.0,955,130462000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Americus Sumter High School (Old Americus-Sumter HS S),Sumter County,13261.0,31709.0,Americus,12,8,808,955.0,0,0,63,143,662,745,66,50,5,8,0,1,1304620.0
48,ANDERSON ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,566,567.0,587.0,552.0,542,525,564,584,549,518,180,305.0,340,0,0,0,0,0,525,564.0,584,549,518,443,457.0,478.0,442.0,439,,,,,,130123000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Anderson Elementary School,Clayton County,13063.0,30288.0,Conley,23,12,566,542.0,1,1,21,43,303,286,213,195,3,4,2,1,1301230.0
49,ANDERSON-LIVSEY ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,749,792.0,810.0,828.0,822,474,551,571,561,550,208,306.0,319,85,56,66,80,76,559,607.0,637,641,626,626,665.0,687.0,712.0,687,,,,,,130255000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Anderson-Livsey Elementary School,Gwinnett County,13135.0,30039.0,Snellville,36,46,749,822.0,1,0,46,52,490,574,163,144,13,6,0,0,1302550.0
50,ANDREA B WILLIAMS ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,601,455.0,450.0,468.0,542,562,398,401,432,505,391,256.0,367,21,16,17,10,12,583,414.0,418,442,517,418,323.0,324.0,345.0,395,,,,,,130102000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Andrea B Williams Elementary School,Chatham County,13051.0,31404.0,Savannah,23,17,601,542.0,0,0,5,8,566,515,4,2,3,0,0,0,1301020.0
51,ANITA WHITE CARSON MIDDLE SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,337,274.0,293.0,293.0,334,329,268,282,289,329,171,168.0,170,0,0,0,0,0,329,268.0,282,289,329,327,274.0,293.0,293.0,334,,,,,,130249000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Anita White Carson Middle School,Greene County,13133.0,30642.0,Greensboro,5,5,337,334.0,1,0,31,45,243,247,54,36,2,0,1,1,1302490.0
52,ANNA K. DAVIE ELEMENTARY,GEORGIA,13-City: Small,13-City: Small,13-City: Small,13-City: Small,,439,504.0,440.0,438.0,,430,504,418,435,,292,353.0,320,0,0,0,0,,430,504.0,418,435,,322,372.0,315.0,318.0,,,,,,,130444000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,,6th Grade,Prekindergarten,Anna K. Davie Elementary,Floyd County,13115.0,30161.0,Rome,18,,439,,0,,56,,292,,73,,0,,0,,1304440.0
53,ANNE STREET ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,410,429.0,427.0,428.0,453,372,389,389,389,409,332,246.0,333,22,23,23,23,23,394,412.0,412,412,432,310,318.0,317.0,323.0,335,,,,,,130252000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Provision 2,Yes under Provision 2,Yes under Provision 2,Yes participating without using any Provision or the CEO,Yes under Provision 2,5th Grade,Prekindergarten,Anne Street Elementary School,Spalding County,13255.0,30224.0,Griffin,21,11,410,453.0,0,0,13,31,350,399,23,11,1,1,2,0,1302520.0
54,ANNETTE WINN ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,462,441.0,452.0,436.0,444,354,330,353,356,369,181,179.0,213,37,38,22,21,27,391,368.0,375,377,396,399,362.0,375.0,356.0,368,,,,,,130186000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Annette Winn Elementary School,Douglas County,13097.0,30122.0,Lithia Springs,22,20,462,444.0,1,0,46,52,244,242,145,126,2,4,2,0,1301860.0
55,ANNIE BELLE CLARK ELEMENTARY SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,667,735.0,750.0,789.0,849,643,709,712,747,804,234,338.0,315,0,0,0,0,0,643,709.0,712,747,804,529,568.0,560.0,614.0,663,,,,,,130498000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Annie Belle Clark Elementary School,Tift County,13277.0,31793.0,Tifton,20,31,667,849.0,0,0,329,350,222,338,87,118,9,9,0,3,1304980.0
56,ANNISTOWN ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,695,673.0,654.0,645.0,601,420,458,436,435,440,189,262.0,248,58,46,51,59,53,478,504.0,487,494,493,570,553.0,549.0,519.0,490,,,,,,130255000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Annistown Elementary School,Gwinnett County,13135.0,30039.0,Snellville,32,18,695,601.0,0,3,36,32,418,352,182,184,26,11,1,1,1302550.0
57,ANTIOCH ELEMENTARY SCHOOL,Georgia,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,547,517.0,515.0,534.0,543,401,369,369,394,380,69,52.0,123,50,67,65,62,63,451,436.0,434,456,443,363,342.0,356.0,390.0,381,,,,,,130570000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Antioch Elementary School,Whitfield County,13313.0,30721.0,Dalton,15,13,547,543.0,0,0,164,174,9,10,355,341,2,2,2,3,1305700.0
58,APALACHEE HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,1887,1811.0,1754.0,1732.0,1648,795,753,716,780,748,298,376.0,329,218,184,176,190,182,1013,937.0,892,970,930,,,,,,1887,1811.0,1754.0,1732.0,1648,130029000000.0,6-Not a Title I school,6-Not a Title I school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Apalachee High School,Barrow County,13013.0,30680.0,Winder,90,51,1887,1648.0,2,0,1055,1054,276,212,392,247,66,78,6,6,1300290.0
59,APPLING COUNTY ELEMENTARY SCHOOL,Georgia,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,551,579.0,576.0,546.0,587,498,523,452,395,396,315,383.0,363,0,0,20,43,50,498,523.0,472,438,446,541,579.0,576.0,546.0,587,,,,,,130006000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,3rd Grade,Appling County Elementary School,Appling County,13001.0,31513.0,Baxley,27,24,551,587.0,0,0,242,274,158,170,121,112,3,6,0,1,1300060.0
60,APPLING COUNTY HIGH SCHOOL,Georgia,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,970,1005.0,984.0,983.0,1003,877,908,594,556,510,330,447.0,433,0,0,45,74,82,877,908.0,639,630,592,,,,,,970,1005.0,984.0,983.0,1003,130006000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Appling County High School,Appling County,13001.0,31513.0,Baxley,29,16,970,1003.0,0,0,593,645,218,219,119,115,9,7,2,1,1300060.0
