School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,Urban-centric Locale [Public School] 2016-17,Urban-centric Locale [Public School] 2015-16,Urban-centric Locale [Public School] 2014-15,"Total Students, All Grades (Excludes AE) [Public School] 2018-19","Total Students, All Grades (Excludes AE) [Public School] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2016-17","Total Students, All Grades (Excludes AE) [Public School] 2015-16","Total Students, All Grades (Excludes AE) [Public School] 2014-15",Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Direct Certification [Public School] 2018-19,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2016-17,Grades 1-8 Students [Public School] 2015-16,Grades 1-8 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2016-17,Grades 9-12 Students [Public School] 2015-16,Grades 9-12 Students [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,National School Lunch Program [Public School] 2016-17,National School Lunch Program [Public School] 2015-16,National School Lunch Program [Public School] 2014-15,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2014-15,Agency ID - NCES Assigned [Public School] Latest available year
ALLIANCE ACADEMY FOR INNOVATION,GEORGIA,21-Suburb: Large,NA,NA,NA,NA,496,NA,NA,NA,NA,39,NA,NA,NA,NA,11,NA,NA,15,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,492,NA,NA,NA,NA,1.30222E+11,6-Not a Title I school,NA,NA,NA,NA,Yes participating without using any Provision or the CEO,NA,NA,NA,NA,10th Grade,9th Grade,Alliance Academy for Innovation,Forsyth County,13117,30040,Cumming,15,NA,496,NA,0,NA,240,NA,19,NA,59,NA,163,NA,0,NA,1302220
ALPHA ACADEMY,GEORGIA,NA,21-Suburb: Large,NA,NA,NA,NA,53,NA,NA,NA,NA,34,NA,NA,NA,NA,15,NA,NA,3,NA,NA,NA,NA,37,NA,NA,NA,NA,14,NA,NA,NA,NA,39,NA,NA,NA,1.30441E+11,NA,2-Title I targeted assistance school,NA,NA,NA,NA,Yes participating without using any Provision or the CEO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1304410
ALPHARETTA ELEMENTARY SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,567,550,559,572,575,67,81,79,93,107,30,37,41,10,15,15,12,19,77,96,94,105,126,425,428,440,467,464,NA,NA,NA,NA,NA,1.30228E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Alpharetta Elementary School,Fulton County,13121,30009,Alpharetta,21,17,567,575,1,0,344,355,61,95,60,61,80,47,0,0,1302280
ALPHARETTA HIGH SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,2268,2233,2152,2033,2061,202,226,206,188,187,73,88,94,57,58,45,41,47,259,284,251,229,234,NA,NA,NA,NA,NA,2268,2233,2152,2033,2061,1.30228E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Alpharetta High School,Fulton County,13121,30005,Alpharetta,80,71,2268,2061,2,1,965,1031,428,401,279,183,509,370,5,4,1302280
ALPINE GNETS PROGRAM,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30001E+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300008
ALPS ROAD ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,398,425,417,366,339,366,391,384,337,323,256,260,400,0,0,0,0,13,366,391,384,337,336,273,302,292,254,214,NA,NA,NA,NA,NA,1.30117E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Alps Road Elementary School,Clarke County,13059,30606,Athens,21,8,398,339,0,0,31,19,308,257,35,54,2,1,1,0,1301170
ALTAMA ELEMENTARY SCHOOL,Georgia,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,489,536,582,605,580,421,470,517,526,482,259,293,331,39,35,29,39,47,460,505,546,565,529,384,434,446,465,441,NA,NA,NA,NA,NA,1.3024E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Altama Elementary School,Glynn County,13127,31525,Brunswick,27,30,489,580,6,8,68,61,288,378,93,94,5,7,2,2,1302400
ALTAMAHA ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,428,423,410,409,390,387,382,244,226,200,154,171,192,0,0,37,51,34,387,382,281,277,234,310,311,291,296,276,NA,NA,NA,NA,NA,1.30006E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Altamaha Elementary School,Appling County,13001,31513,Baxley,11,10,428,390,1,0,348,329,39,23,28,28,1,0,0,0,1300060
ALTERNATIVE EDUCATION,Georgia,NA,NA,NA,NA,12-City: Mid-size,NA,NA,NA,NA,.,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,.,NA,NA,NA,NA,.,NA,NA,NA,NA,.,1.30438E+11,NA,NA,NA,NA,6-Not a Title I school,NA,NA,NA,NA,Yes under Community Eligibility Option (CEO),NA,NA,NA,NA,NA,NA,NA,NA,.,NA,0,NA,.,NA,.,NA,.,NA,.,NA,.,NA,.,1304380
ALTERNATIVE EDUCATION CENTER AT LAMAR,GEORGIA,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,NA,147,144,150,160,NA,142,139,145,155,NA,144,141,118,0,0,0,0,NA,142,139,145,155,NA,33,53,61,64,NA,104,91,89,96,NA,1.30438E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,NA,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,NA,12th Grade,6th Grade,Alternative Education Center at Lamar,Richmond County,13245,30904,Augusta,1,NA,147,NA,1,NA,6,NA,136,NA,3,NA,0,NA,0,NA,1304380
ALTERNATIVE LEARNING CENTER,GEORGIA,13-City: Small,NA,NA,NA,NA,51,NA,NA,NA,NA,36,NA,NA,NA,NA,26,NA,NA,6,NA,NA,NA,NA,42,NA,NA,NA,NA,3,NA,NA,NA,NA,36,NA,NA,NA,NA,1.30261E+11,6-Not a Title I school,NA,NA,NA,NA,Yes participating without using any Provision or the CEO,NA,NA,NA,NA,12th Grade,7th Grade,Alternative Learning Center,Hall County,13139,30504,Gainesville,2,NA,51,NA,0,NA,16,NA,4,NA,29,NA,0,NA,0,NA,1302610
ALTERNATIVE LEARNING CENTER,Georgia,NA,NA,32-Town: Distant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30422E+11,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1304220
ALTERNATIVE SCHOOL,Georgia,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,NA,NA,NA,NA,.,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,.,NA,NA,NA,NA,.,NA,NA,NA,NA,.,1.30029E+11,6-Not a Title I school,NA,NA,6-Not a Title I school,6-Not a Title I school,No,No,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,NA,NA,Alternative School,Barrow County,13013,30620,Bethlehem,NA,.,NA,0,NA,.,NA,.,NA,.,NA,.,NA,.,NA,.,1300290
ALTO PARK ELEMENTARY SCHOOL,Georgia,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,447,485,502,476,473,304,331,302,351,322,177,215,302,0,0,0,26,8,304,331,302,377,330,331,365,364,359,353,NA,NA,NA,NA,NA,1.30219E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Alto Park Elementary School,Floyd County,13115,30165,Rome,30,17,447,473,0,0,221,261,32,39,157,150,7,4,0,2,1302190
AMANA ACADEMY SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,694,699,726,741,695,241,307,332,299,232,94,132,28,73,67,63,88,46,314,374,395,387,278,617,625,672,665,625,NA,NA,NA,NA,NA,1.30228E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,Kindergarten,Amana Academy School,Fulton County,13121,30009,Alpharetta,37,39,694,695,2,1,150,222,289,261,95,58,120,113,1,1,1302280
AMBROSE ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,421,413,418,414,391,411,370,374,372,351,157,209,176,0,0,0,0,0,411,370,374,372,351,311,309,307,300,284,NA,NA,NA,NA,NA,1.30135E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Ambrose Elementary School,Coffee County,13069,31512,Ambrose,12,12,421,391,0,0,211,194,54,44,143,140,0,0,1,1,1301350
AMERICUS SUMTER 9TH GRADE ACADEMY,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,41-Rural: Fringe,265,275,308,306,351,263,271,308,303,351,133,169,216,0,0,0,0,0,263,271,308,303,351,NA,NA,NA,NA,NA,259,275,308,306,351,1.30462E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),9th Grade,9th Grade,Americus Sumter 9th Grade Academy,Sumter County,13261,31719,Americus,8,5,265,351,0,0,23,33,201,286,31,25,2,2,0,0,1304620
AMERICUS SUMTER HIGH SCHOOL (OLD AMERICUS-SUMTER HS S),Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,808,875,930,1001,955,802,860,930,990,940,430,422,549,0,0,0,0,0,802,860,930,990,940,NA,NA,NA,NA,NA,808,875,930,1001,955,1.30462E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Americus Sumter High School (Old Americus-Sumter HS S),Sumter County,13261,31709,Americus,12,8,808,955,0,0,63,143,662,745,66,50,5,8,0,1,1304620
ANDERSON ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,566,567,587,552,542,525,564,584,549,518,180,305,340,0,0,0,0,0,525,564,584,549,518,443,457,478,442,439,NA,NA,NA,NA,NA,1.30123E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Anderson Elementary School,Clayton County,13063,30288,Conley,23,12,566,542,1,1,21,43,303,286,213,195,3,4,2,1,1301230
ANDERSON-LIVSEY ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,749,792,810,828,822,474,551,571,561,550,208,306,319,85,56,66,80,76,559,607,637,641,626,626,665,687,712,687,NA,NA,NA,NA,NA,1.30255E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Anderson-Livsey Elementary School,Gwinnett County,13135,30039,Snellville,36,46,749,822,1,0,46,52,490,574,163,144,13,6,0,0,1302550
ANDREA B WILLIAMS ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,601,455,450,468,542,562,398,401,432,505,391,256,367,21,16,17,10,12,583,414,418,442,517,418,323,324,345,395,NA,NA,NA,NA,NA,1.30102E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Andrea B Williams Elementary School,Chatham County,13051,31404,Savannah,23,17,601,542,0,0,5,8,566,515,4,2,3,0,0,0,1301020
ANITA WHITE CARSON MIDDLE SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,337,274,293,293,334,329,268,282,289,329,171,168,170,0,0,0,0,0,329,268,282,289,329,327,274,293,293,334,NA,NA,NA,NA,NA,1.30249E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Anita White Carson Middle School,Greene County,13133,30642,Greensboro,5,5,337,334,1,0,31,45,243,247,54,36,2,0,1,1,1302490
ANNA K. DAVIE ELEMENTARY,GEORGIA,13-City: Small,13-City: Small,13-City: Small,13-City: Small,NA,439,504,440,438,NA,430,504,418,435,NA,292,353,320,0,0,0,0,NA,430,504,418,435,NA,322,372,315,318,NA,NA,NA,NA,NA,NA,1.30444E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,NA,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,NA,6th Grade,Prekindergarten,Anna K. Davie Elementary,Floyd County,13115,30161,Rome,18,NA,439,NA,0,NA,56,NA,292,NA,73,NA,0,NA,0,NA,1304440
ANNE STREET ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,410,429,427,428,453,372,389,389,389,409,332,246,333,22,23,23,23,23,394,412,412,412,432,310,318,317,323,335,NA,NA,NA,NA,NA,1.30252E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Provision 2,Yes under Provision 2,Yes under Provision 2,Yes participating without using any Provision or the CEO,Yes under Provision 2,5th Grade,Prekindergarten,Anne Street Elementary School,Spalding County,13255,30224,Griffin,21,11,410,453,0,0,13,31,350,399,23,11,1,1,2,0,1302520
ANNETTE WINN ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,462,441,452,436,444,354,330,353,356,369,181,179,213,37,38,22,21,27,391,368,375,377,396,399,362,375,356,368,NA,NA,NA,NA,NA,1.30186E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Annette Winn Elementary School,Douglas County,13097,30122,Lithia Springs,22,20,462,444,1,0,46,52,244,242,145,126,2,4,2,0,1301860
ANNIE BELLE CLARK ELEMENTARY SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,667,735,750,789,849,643,709,712,747,804,234,338,315,0,0,0,0,0,643,709,712,747,804,529,568,560,614,663,NA,NA,NA,NA,NA,1.30498E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Annie Belle Clark Elementary School,Tift County,13277,31793,Tifton,20,31,667,849,0,0,329,350,222,338,87,118,9,9,0,3,1304980
ANNISTOWN ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,695,673,654,645,601,420,458,436,435,440,189,262,248,58,46,51,59,53,478,504,487,494,493,570,553,549,519,490,NA,NA,NA,NA,NA,1.30255E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Annistown Elementary School,Gwinnett County,13135,30039,Snellville,32,18,695,601,0,3,36,32,418,352,182,184,26,11,1,1,1302550
ANTIOCH ELEMENTARY SCHOOL,Georgia,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,547,517,515,534,543,401,369,369,394,380,69,52,123,50,67,65,62,63,451,436,434,456,443,363,342,356,390,381,NA,NA,NA,NA,NA,1.3057E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Antioch Elementary School,Whitfield County,13313,30721,Dalton,15,13,547,543,0,0,164,174,9,10,355,341,2,2,2,3,1305700
APALACHEE HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,1887,1811,1754,1732,1648,795,753,716,780,748,298,376,329,218,184,176,190,182,1013,937,892,970,930,NA,NA,NA,NA,NA,1887,1811,1754,1732,1648,1.30029E+11,6-Not a Title I school,6-Not a Title I school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Apalachee High School,Barrow County,13013,30680,Winder,90,51,1887,1648,2,0,1055,1054,276,212,392,247,66,78,6,6,1300290
APPLING COUNTY ELEMENTARY SCHOOL,Georgia,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,551,579,576,546,587,498,523,452,395,396,315,383,363,0,0,20,43,50,498,523,472,438,446,541,579,576,546,587,NA,NA,NA,NA,NA,1.30006E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,3rd Grade,Appling County Elementary School,Appling County,13001,31513,Baxley,27,24,551,587,0,0,242,274,158,170,121,112,3,6,0,1,1300060
